순번,제목,설명,발행일,링크,원본링크,언론사,IP포함,라이선싱포함,빌드업포함,코레일포함,슈야포함,테마카페포함,캐릭터포함
1,"중소 IP기업 콘텐츠 플랫폼 담당…코레일유통; KTX역에 ‘슈야 테마공간...","코레일유통은 한국콘텐츠진흥원과 함께하는 ‘2025 IP 라이선싱 빌드업’ 사업 일환으로; 이번 행사를 기획했다고 설명했다. 이번 테마카페의 주인공은 케이비젼의 인기 이모티콘 캐릭터 ‘슈야’와 ‘토야’다. 슈크림... ",2025-09-21,"https://n.news.naver.com/mnews/article/009/0005562407?sid=101","https://www.mk.co.kr/article/11425571",네이버뉴스,Y,Y,Y,Y,Y,Y,Y
2,"“KTX역이 K콘텐츠 공간으로” 코레일유통; 2025 IP 라이선싱 빌드업 참...","이번 테마카페는 한국콘텐츠진흥원과 함께하는 2025 IP 라이선싱 빌드업 사업의 일환이다. 이번 사업을 통해 KTX 동대구역은 중소 지식재산권(IP) 기업의 콘텐츠를 대중에게 알릴 수 있는 플랫폼 역할을 한다. 이번... ",2025-09-21,"http://kpenews.com/View.aspx?No=3790404","http://kpenews.com/View.aspx?No=3790404",한국정경신문,Y,Y,Y,Y,N,Y,N
3,"코레일유통; '슈야' 캐릭터 IP 활용한 테마카페 첫 선","한국콘텐츠진흥원과 함께하는 'IP 라이선싱 빌드업' 사업 일환 [시장경제=배소라 기자] 동대구역 커피전문점 '트리핀'. 사진=코레일유통 코레일유통 KTX 동대구역 3층 커피전문점 '트리핀'을 캐릭터 '슈야'를 활용한... ",2025-09-22,"https://www.meconomynews.com/news/articleView.html?idxno=120369","https://www.meconomynews.com/news/articleView.html?idxno=120369",시장경제신문,Y,Y,Y,Y,Y,Y,Y
4,"&quot;준비된 중소 IP 기업이라면; 날개 달수 있죠&quot;...IP 라이선싱 빌드업","'IP 라이선싱 빌드업' 사업을 통해 대기업에는 우수한 중소콘텐츠지식재산(IP)을 활용한 높은 마케팅 효율을 제공하고; 중소콘텐츠기업에는 대기업의 제품력과 유통망을 기반으로 성장과 도약의 기회를 열어주고 있다.... ",2025-09-08,"https://n.news.naver.com/mnews/article/014/0005403293?sid=103","http://www.fnnews.com/news/202509080854188382",네이버뉴스,Y,Y,Y,N,N,N,N
5,"'캐릭터 라이선싱 페어 2025'; IP 산업 융합의 장 가교 기대","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"https://www.the-pr.co.kr/news/articleView.html?idxno=53775","https://www.the-pr.co.kr/news/articleView.html?idxno=53775",더프라이즈,Y,Y,Y,Y,N,N,Y
6,"코레일유통; '2025 캐릭터 라이선싱 페어' 참가…&quot;중소 IP기업과 상생 협...","코레일유통은 지난해에 이어 한국콘텐츠진흥원의 'IP 라이선싱 빌드업' 사업에 연속 참여 중이며; 중소 IP 기업의 역량 강화를 위해 전국 철도역의 유휴공간과 유통 인프라를 활용한 다양한 협업 모델을 실현해왔다.... ",2025-07-17,"https://www.straightnews.co.kr/news/articleView.html?idxno=276307","https://www.straightnews.co.kr/news/articleView.html?idxno=276307",스트레이트뉴스,Y,Y,Y,Y,N,N,Y
7,"코레일유통; 철도 굿즈로 중소 IP기업과 상생 협력...'2025 캐릭터 라이...","코레일유통은 지난해에 이어 올해도 한국콘텐츠진흥원의 'IP 라이선싱 빌드업' 사업에 참여하고 있다. 이를 통해 중소 콘텐츠 기업의 지식재산(IP)을 철도 유통 플랫폼과 연계해 다양한 방식의 협업을 이어가고 있다.... ",2025-07-18,"https://www.startuptoday.co.kr/news/articleView.html?idxno=480381","https://www.startuptoday.co.kr/news/articleView.html?idxno=480381",스타트업투데이,Y,Y,Y,Y,N,N,Y
8,"코레일유통; '2025 캐릭터 라이선싱 페어' 참가…철도 굿즈로 중소 IP기...","코레일유통은 지난해에 이어 올해도 한국콘텐츠진흥원의 'IP 라이선싱 빌드업' 사업에 참여하고 있다. 이를 통해 중소 콘텐츠 기업의 지식재산(IP)을 철도 유통 플랫폼과 연계해 다양한 방식의 협업을 이어가고 있다.... ",2025-07-16,"https://www.thefairnews.co.kr/news/articleView.html?idxno=51802","https://www.thefairnews.co.kr/news/articleView.html?idxno=51802",더페어뉴스,Y,Y,Y,Y,N,N,Y
9,"&quot;캐릭터 세계관 무한 확장&quot; 중소IP 성장 날개 달아준 콘진원","'IP 라이선싱 빌드업' 사업을 통해 대기업에는 우수한 중소콘텐츠지식재산(IP)을 활용한 높은 마케팅 효율을 제공하고; 중소콘텐츠기업에는 대기업의 제품력과 유통망을 기반으로 성장과 도약의 기회를 열어주고 있다.... ",2025-09-08,"https://n.news.naver.com/mnews/article/014/0005403492?sid=103","http://www.fnnews.com/news/202509081822187195",네이버뉴스,Y,Y,Y,N,N,N,Y
10,"코레일유통; ‘2025 캐릭터 라이선싱 페어’ 참가","‘빌드업 기획관’ 참여…중소 지식재산(IP) 기업 협업‧철도 굿즈 전시 2년 연속 ‘IP 라이선싱 빌드업’ 사업 참여…상생 협력 지속 추진 ‘2025 캐릭터 라이선싱 페어’에 코레일유통이 참여하는 전시부스 디자인.... ",2025-07-17,"https://n.news.naver.com/mnews/article/021/0002723304?sid=101","https://www.munhwa.com/article/11519542?ref=naver",네이버뉴스,Y,Y,Y,Y,N,N,Y
11,"코레일유통;IP 협업·철도 굿즈 알린다..2025 캐릭터 라이선싱 페어 참가","코레일유통은 콘진원의 IP 라이선싱 빌드업 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-16,"http://kpenews.com/View.aspx?No=3714959","http://kpenews.com/View.aspx?No=3714959",한국정경신문,Y,Y,Y,Y,N,N,Y
12,"콘진원 'IP 라이선싱 빌드업'; 오콘 '버니공쥬'에 날개 달아주다","&quot;한국콘텐츠진흥원 'IP 라이선싱 빌드업' 사업은 IP를 보유한 중소기업이 더 효과적으로 대기업과 협업을 추진할 수 있게 실질적인 지원을 해준다.&quot; 한국콘텐츠진흥원(콘진원)이 온·오프라인 플랫폼을 가진 대기업과... ",2025-03-20,"https://www.newspim.com/news/view/20250320000577","https://www.newspim.com/news/view/20250320000577",Unknown,Y,Y,Y,N,N,N,N
13,"코레일유통; 오는 23일 동대구역에 ‘트리핀 X 슈야’ 테마카페 오픈","이번 테마카페는 한국콘텐츠진흥원과 함께하는 ‘2025 IP 라이선싱 빌드업’ 사업의 일환으로; 중소 지식재산권(IP) 기업의 콘텐츠를 대중에게 알릴 수 있는 플랫폼 역할을 한다. 이번 테마카페의 주인공은 (주)케이비젼의... ",2025-09-22,"https://n.news.naver.com/mnews/article/021/0002738317?sid=101","https://www.munhwa.com/article/11534889?ref=naver",네이버뉴스,Y,Y,Y,Y,Y,Y,N
14,"코레일유통; 국내 최대 콘텐츠 행사 '라이선싱 페어' 2년 연속 참가","코레일유통은 행사장 내 'IP 라이선싱 빌드업 기획관'에 참여해 중소 콘텐츠 기업과 협업한 캐릭터 굿즈; 열차모형 블록 등 주요 성과물을 전시한다. 특히 실물 열차를 모티브로 한 열차모형 블록은 서울역·부산역... ",2025-07-17,"http://www.nongaek.com/news/articleView.html?idxno=92034","http://www.nongaek.com/news/articleView.html?idxno=92034",Unknown,Y,Y,Y,Y,N,N,Y
15,"코레일유통; '2025 캐릭터 라이선싱 페어' 2년 연속 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"http://www.chungnamilbo.co.kr/news/articleView.html?idxno=839619","http://www.chungnamilbo.co.kr/news/articleView.html?idxno=839619",Unknown,Y,Y,Y,Y,N,N,Y
16,"코레일유통; '2025 캐릭터 라이선싱 페어' 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"http://www.bizwnews.com/news/articleView.html?idxno=107416","http://www.bizwnews.com/news/articleView.html?idxno=107416",Unknown,Y,Y,Y,Y,N,N,Y
17,"코레일유통 '2025 캐릭터 라이선싱 페어' 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP) 기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"https://www.newscj.com/news/articleView.html?idxno=3294844","https://www.newscj.com/news/articleView.html?idxno=3294844",Unknown,Y,Y,Y,Y,N,N,Y
18,"코레일유통; ‘캐릭터 라이선싱 페어’ 2년 연속 참가","코레일유통은 콘진원의 ‘IP 라이선싱 빌드업’ 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국... ",2025-07-17,"http://thetracker.co.kr/View.aspx?No=3715232","http://thetracker.co.kr/View.aspx?No=3715232",Unknown,Y,Y,Y,Y,N,N,Y
19,"코레일유통; '2025 캐릭터 라이선싱 페어' 참가","코레일유통은 콘진원의 'IP 라이선싱 빌드업' 사업에 지난해에 이어 올해도 참여해 중소 지식재산(IP)기업과의 협업을 지속하고 있다. 국내 중소 지식재산(IP) 기업의 역량 강화를 목적으로 코레일유통은 전국 철도역의... ",2025-07-17,"http://www.ikld.kr/news/articleView.html?idxno=316852","http://www.ikld.kr/news/articleView.html?idxno=316852",Unknown,Y,Y,Y,Y,N,N,Y
